date,Goodnessfit,daily,confirmed_cases,active_cases,Recovered,total_deaths,total_tests,one dose of vacination,fully_vaccinated,total_vaccinations,,confirmed_cases_log,active_cases_log,discharged_cases_log,total_deaths_log,one dose of vacination_log,fully_vaccinated_log,Days,Fration_one dose of vacination,Fration_fully_vaccinated,Fration_total_vaccinations
3/25/2020,1,26,51,50,0,1,,,,,,1.707570176,1.698970004,,0,,,,0,0,0
3/26/2020,1,27,65,64,0,1,,,,,,1.812913357,1.806179974,,0,,,,0,0,0
3/27/2020,1,28,70,69,0,1,,,,,,1.84509804,1.838849091,,0,,,,0,0,0
3/28/2020,1,29,89,88,0,1,,,,,,1.949390007,1.944482672,,0,,,,0,0,0
3/29/2020,1,30,111,110,0,1,,,,,,2.045322979,2.041392685,,0,,,,0,0,0
3/30/2020,1,31,131,129,0,2,,,,,,2.117271296,2.11058971,,0.301029996,,,,0,0,0
3/31/2020,1,32,135,133,0,2,,,,,,2.130333768,2.123851641,,0.301029996,,,,0,0,0
4/1/2020,1,33,174,172,0,2,,,,,,2.240549248,2.235528447,,0.301029996,,,,0,0,0
4/2/2020,1,34,184,182,0,2,,,,,,2.264817823,2.260071388,,0.301029996,,,,0,0,0
4/3/2020,1,35,210,206,0,4,,,,,,2.322219295,2.31386722,,0.602059991,,,,0,0,0
4/4/2020,1,36,214,210,0,4,,,,,,2.330413773,2.322219295,,0.602059991,,,,0,0,0
4/5/2020,1,37,232,227,0,5,,,,,,2.365487985,2.356025857,,0.698970004,,,,0,0,0
4/6/2020,1,38,238,233,0,5,,,,,,2.376576957,2.367355921,,0.698970004,,,,0,0,0
4/7/2020,1,39,254,204,44,6,,,,,,2.404833717,2.309630167,1.643452676,0.77815125,,,,0,0,0
4/8/2020,1,40,276,226,44,6,5000,,,,,2.440909082,2.354108439,1.643452676,0.77815125,,,,0,0,0
4/9/2020,1,41,288,230,51,7,5000,,,,,2.459392488,2.361727836,1.707570176,0.84509804,,,,0,0,0
4/10/2020,1,42,305,240,58,7,5000,,,,,2.484299839,2.380211242,1.763427994,0.84509804,,,,0,0,0
4/11/2020,1,43,318,238,70,10,5000,,,,,2.50242712,2.376576957,1.84509804,1,,,,0,0,0
4/12/2020,1,44,323,228,85,10,5000,,,,,2.509202522,2.357934847,1.929418926,1,,,,0,0,0
4/13/2020,1,45,343,242,91,10,5000,,,,,2.53529412,2.383815366,1.959041392,1,,,,0,0,0
4/14/2020,1,46,373,263,99,11,5000,,,,,2.571708832,2.419955748,1.995635195,1.041392685,,,,0,0,0
4/15/2020,1,47,407,267,128,12,5000,,,,,2.609594409,2.426511261,2.10720997,1.079181246,,,,0,0,0
4/16/2020,1,48,442,277,152,13,6649,,,,,2.645422269,2.442479769,2.181843588,1.113943352,,,,0,0,0
4/17/2020,1,49,493,317,159,17,7153,,,,,2.692846919,2.501059262,2.201397124,1.230448921,,,,0,0,0
4/18/2020,1,50,542,357,166,19,7153,,,,,2.733999287,2.552668216,2.220108088,1.278753601,,,,0,0,0
4/19/2020,1,51,627,436,170,21,7153,,,,,2.797267541,2.639486489,2.230448921,1.322219295,,,,0,0,0
