Date,Days,Tests_per_day,Cumulative_Tests,New_cases,Total_Infected,Daily_Recovered,Total_Recovered,Daily_Deaths,Total_Deaths,Active_Cases
14/October,216,,,,41937,,31340,,787,9810
15/October,217,,,,42541,,31428,,797,10316
16/October,218,,,,43143,,31508,,805,10830
17/October,219,,,,43580,,31648,,813,11119
18/October,220,,,,44196,,31752,,825,11619
19/October,221,,,,44881,,31857,,832,12192
20/October,222,,,,45076,,32084,,839,12153
21/October,223,,,,45647,,32522,,842,12283
22/October,224,,,,46144,,32760,,858,12526
23/October,225,,,,47212,,33050,,870,13292
24/October,226,,,,47843,,33421,,884,13538
25/October,227,,,,48790,,33876,,896,14018
26/October,228,,,,49721,,34209,,902,14610
27/October,229,,,,49997,,34429,,920,14648
28/October,230,,,,50833,,34832,,934,15067
29/October,231,,,,51851,,35258,,950,15643
30/October,232,,,,52612,,35604,,964,16044
31/October,233,,,,53797,,35876,,981,16940
01/November,234,,,,55192,,35876,,996,18320
02/November,235,,,,55877,,37194,,1013,17670
03/November,236,,,,56601,,37442,,1027,18132
04/November,237,,,,57093,,37846,,1039,18208
05/November,238,,,,58587,,38381,,1051,19155
06/November,239,,,,59595,,39193,,1072,19330
07/November,240,,,,60704,,40131,,1093,19480
08/November,241,,,,61769,,41019,,1103,19647
09/November,242,,,,62488,,41931,,1111,19446
10/November,243,,,,63244,,42659,,1130,19455
11/November,244,,,,64588,,43095,,1154,20339
12/November,245,,,,65804,,43626,,1180,20998
13/November,246,,,,66723,,44040,,1203,21480
14/November,247,,,,68193,,44872,,1228,22093
15/November,248,,,,69273,,45414,,1249,22610
16/November,249,,,,70245,,45766,,1269,23210
17/November,250,,,,70804,,46244,,1287,23273
18/November,251,,,,71729,,47262,,1302,23165
19/November,252,,,,72686,,49878,,1313,21495
20/November,253,,,,74145,,50658,,1330,22157
21/November,254,,,,75193,,50984,,1349,22860
22/November,255,,,,76404,,51352,,1366,23686
23/November,256,,,,77372,,51507,,1380,24485
24/November,257,,,,77785,,52103,,1392,24290
25/November,258,,,,78512,,52709,,1409,24394
26/November,259,,,,79322,,52920,,1471,24931
27/November,260,,,,80102,,53526,,1427,25149
28/November,261,,,,81656,,54125,,1441,26090
29/November,262,,,,82605,,54399,,1445,26761
30/November,263,,,,83316,,54975,,1452,26889
01/December,264,,,,83618,,55344,,1469,26805
02/December,265,,,,84169,,55610,,1474,27085
03/December,266,,,,85130,,56464,,1484,27182
04/December,267,,,,86383,,67788,,1500,17095
05/December,268,,,,87249,,68110,,1506,17633
06/December,269,,,,87984,,68532,,1518,17934
07/December,270,,,,88380,,68929,,1526,17925
08/December,271,,,,88579,,69414,,1531,17634
09/December,272,,,,89100,,69839,,1545,17716
10/December,273,,,,89661,,70194,,1552,17915
11/December,274,,,,90305,,71254,,1568,17483
12/December,275,,,,90978,,71579,,1582,17817
13/December,276,,,,91526,,72596,,1586,17344
14/December,277,,,,91892,,73028,,1587,17277
15/December,278,,,,92055,,73452,,1593,17010
16/December,279,,,,92459,,73979,,1604,16876
17/December,280,,,,92853,,74403,,1614,16836
18/December,281,,,,93405,,74999,,1618,16788
19/December,282,,,,93761,,75274,,1629,16858
20/December,283,,,,94151,,75559,,1633,16959
21/December,284,,,,94500,,75735,,1639,17126
22/December,285,,,,94614,,76060,,1644,16910
23/December,286,,,,94768,,76222,,1647,16899
24/December,287,,,,95195,,76508,,1648,17039
25/December,288,,,,95431,,76720,,1652,17059
26/December,289,,,,95713,,76811,,1653,17249
27/December,290,,,,95843,,76998,,1655,17190
28/December,291,,,,95923,,77423,,1658,16842
29/December,292,,,,95992,,77521,,1664,16807
30/December,293,,,,96139,,77659,,1665,16815
31/December,294,,,,96251,,78475,,1667,16109
01/January,295,,,,96458,,78737,,1670,16051
02/January,296,,,,96614,,78802,,1681,16131
03/January,297,,,,96678,,79012,,1685,15981
04/January,298,,,,96802,,79073,,1685,16044
05/January,299,,,,96908,,79257,,1686,15965
06/January,300,,,,97127,,79357,,1690,16080
07/January,301,,,,97398,,79966,,1694,15738
08/January,302,,,,97733,,80306,,1702,15725
09/January,303,,,,97954,,80671,,1703,15580
10/January,304,,,,98184,,80808,,1704,15672
11/January,305,,,,98271,,80875,,1710,15686
12/January,306,,,,98334,,81101,,1713,15520
13/January,307,,,,98432,,81255,,1716,15461
14/January,308,,,,98555,,81667,,1720,15168
15/January,309,,,,98693,,81933,,1723,15037
16/January,310,,,,98859,,82195,,1726,14938
17/January,311,,,,99082,,82324,,1728,15030
18/January,312,,,,99162,,82350,,1731,15081
19/January,313,,,,99227,,82427,,1734,15066
20/January,314,,,,99308,,82478,,1734,15096
21/January,315,,,,99444,,82654,,1736,15054
22/January,316,,,,99630,,82729,,1739,15162
23/January,317,,,,99769,,82866,,1740,15163
24/January,318,,,,99898,,82936,,1740,15222
25/January,319,,,,99983,,82969,,1744,15270
26/January,320,,,,100052,,83418,,1744,14890
27/January,321,,,,100193,,83625,,1750,14818
28/January,322,,,,100323,,83691,,1751,14881
29/January,323,,,,100422,,83757,,1753,14912
30/January,324,,,,100563,,83821,,1753,14989
31/January,325,,,,100675,,83855,,1755,15065
01/February,326,,,,100773,,83907,,1763,15103
02/February,327,,,,100856,,83936,,1766,15154
03/February,328,,,,101009,,83990,,1766,15253
04/February,329,,,,101159,,84060,,1769,15330
05/February,330,,,,101339,,84143,,1773,15423
06/February,331,,,,101534,,84268,,1776,15490
07/February,332,,,,101690,,84302,,1776,15612
08/February,333,,,,101819,,84361,,1779,15679
09/February,334,,,,101944,,84473,,1786,15685
10/February,335,,,,102048,,84542,,1789,15717
11/February,336,,,,102221,,84728,,1791,15702
12/February,337,,,,102353,,84790,,1794,15769
13/February,338,,,,102613,,84873,,1794,15946
14/February,339,,,,102792,,84952,,1795,16045
15/February,340,,,,102867,,85008,,1795,16064
16/February,341,,,,103014,,85250,,1795,15969
17/February,342,,,,103188,,85336,,1797,16055
18/February,343,,,,103188,,85251,,1797,16140
19/February,344,,,,103615,,85437,,1807,16371
20/February,345,,,,103841,,85512,,1813,16516
21/February,346,,,,103993,,85540,,1817,16636
22/February,347,,,,104201,,85577,,1823,16801
23/February,348,,,,104306,,85626,,1827,16853
24/February,349,,,,104500,,85665,,1837,16998
25/February,350,,,,104780,,86378,,1839,16563
26/February,351,,,,105057,,86497,,1847,16713
27/February,352,,,,105467,,86527,,1847,17093
28/February,353,,,,105648,,86609,,1854,17185
01/March,354,,,,105973,,86678,,1856,17439
02/March,355,,,,106125,,86717,,1859,17549
03/March,356,,,,106470,,86864,,1859,17747
04/March,357,,,,106801,,86914,,1866,18021
05/March,358,,,,107329,,87099,,1870,18360
06/March,359,,,,107729,,87179,,1870,18680
07/March,360,,,,108362,,87554,,1870,18938
08/March,361,,,,108827,,87570,,1876,19381
09/March,362,,,,109164,,87623,,1879,19662
10/March,363,,,,109643,,87745,,1886,20012
11/March,364,,,,110356,,87903,,1898,20555
