Date,Days,Tests_per_day,Cumulative_Tests,New_cases,Total_Infected,Daily_Recovered,Total_Recovered,Daily_Deaths,Total_Deaths,Active_Cases,No_of_Doses_daily,Total_Vaccine_Doses,Fully_Vaccinated,Total_Vaccinated,Fration_Fully_Vaccinated,Fration_Total_Vaccinated,Days1,,,,,,,,,,,,,,,,
28-Dec,656,,,,284150,,250727,,5364,28059,,5930258,4020000,9950258,0.085531915,0.211707617,647,,,,,,,,,,,,,,,,
29-Dec,657,,,,285654,,250963,,5364,29327,,5930258,4090000,10020258,0.087021277,0.213196979,648,,,,,,,,,,,,,,,,
30-Dec,658,,,,288951,,251223,,5372,32356,,5930258,4160000,10090258,0.088510638,0.21468634,649,,,,,,,,,,,,,,,,
31-Dec,659,,,,292237,,252281,,5376,34580,,5930258,4160000,10090258,0.088510638,0.21468634,650,,,,,,,,,,,,,,,,
1-Jan-22,660,,,,295028,,253715,,5378,35935,,5930258,4220000,10150258,0.089787234,0.215962936,651,,,,,,,,,,,,,,,,
2-Jan,661,,,,297155,,254115,,5381,37659,,5930258,4220000,10150258,0.089787234,0.215962936,652,,,,,,,,,,,,,,,,
3-Jan,662,,,,298509,,256551,,5384,36574,,5930258,4270000,10200258,0.090851064,0.217026766,653,,,,,,,,,,,,,,,,
4-Jan,663,,,,299732,,258533,,5394,35805,,5930258,4320000,10250258,0.091914894,0.218090596,654,,,,,,,,,,,,,,,,
5-Jan,664,,,,302134,,259308,,5401,37425,,5930258,4350000,10280258,0.092553191,0.218728894,655,,,,,,,,,,,,,,,,
6-Jan,665,,,,304350,,261067,,5404,37879,,5930258,4410000,10340258,0.093829787,0.220005489,656,,,,,,,,,,,,,,,,
7-Jan,666,,,,306686,,262133,,5411,39142,,5930258,4470000,10400258,0.095106383,0.221282085,657,,,,,,,,,,,,,,,,
8-Jan,667,,,,309130,,264656,,5425,39049,,5930258,4480000,10410258,0.095319149,0.221494851,658,,,,,,,,,,,,,,,,
9-Jan,668,,,,310797,,264962,,5437,40398,,5930258,4490000,10420258,0.095531915,0.221707617,659,,,,,,,,,,,,,,,,
10-Jan,669,,,,311358,,264962,,5446,40950,,5930258,4530000,10460258,0.096382979,0.222558681,660,,,,,,,,,,,,,,,,
11-Jan,670,,,,312572,,271893,,5454,35225,,5930258,4580000,10510258,0.097446809,0.223622511,661,,,,,,,,,,,,,,,,
12-Jan,671,,,,313677,,276019,,5462,32196,,5930258,4640000,10570258,0.098723404,0.224899106,662,,,,,,,,,,,,,,,,
13-Jan,672,,,,314490,,279044,,5472,29974,,5930258,4640000,10570258,0.098723404,0.224899106,663,,,,,,,,,,,,,,,,
14-Jan,673,,,,315665,,280199,,5482,29984,,5930258,4640000,10570258,0.098723404,0.224899106,664,,,,,,,,,,,,,,,,
15-Jan,674,,,,316700,,281343,,5488,29869,,5930258,4640000,10570258,0.098723404,0.224899106,665,,,,,,,,,,,,,,,,
16-Jan,675,,,,317324,,284727,,5488,27109,,5930258,4640000,10570258,0.098723404,0.224899106,666,,,,,,,,,,,,,,,,
17-Jan,676,,,,317634,,285627,,5499,26508,,5930258,4640000,10570258,0.098723404,0.224899106,667,,,,,,,,,,,,,,,,
18-Jan,677,,,,317857,,286483,,5504,25870,,6250000,4830000,11080000,0.102765957,0.235744681,668,,,,,,,,,,,,,,,,
19-Jan,678,,,,318249,,287140,,5520,25589,,6250000,4830000,11080000,0.102765957,0.235744681,669,,,,,,,,,,,,,,,,
20-Jan,679,,,,319011,,287963,,5520,25528,,6300000,4950000,11250000,0.105319149,0.239361702,670,,,,,,,,,,,,,,,,
21-Jan,680,,,,319379,,288424,,5520,25435,,6320000,5010000,11330000,0.106595745,0.24106383,671,,,,,,,,,,,,,,,,
22-Jan,681,,,,319838,,289547,,5528,24763,,6340000,5070000,11410000,0.10787234,0.242765957,672,,,,,,,,,,,,,,,,
23-Jan,682,,,,320138,,291361,,5531,23246,,6340000,5080000,11420000,0.108085106,0.242978723,673,,,,,,,,,,,,,,,,
24-Jan,683,,,,320229,,291917,,5554,22758,,6350000,5090000,11440000,0.108297872,0.243404255,674,,,,,,,,,,,,,,,,
25-Jan,684,,,,320399,,291917,,5558,22924,,6370000,5140000,11510000,0.109361702,0.244893617,675,,,,,,,,,,,,,,,,
26-Jan,685,,,,320584,,292587,,5562,22435,,6390000,5150000,11540000,0.109574468,0.245531915,676,,,,,,,,,,,,,,,,
27-Jan,686,,,,320766,,293017,,5565,22184,,6410000,5250000,11660000,0.111702128,0.248085106,677,,,,,,,,,,,,,,,,
28-Jan,687,,,,320918,,294035,,5567,21316,,6430000,5300000,11730000,0.112765957,0.249574468,678,,,,,,,,,,,,,,,,
29-Jan,688,,,,321111,,294073,,5578,21460,,6470000,5380000,11850000,0.114468085,0.25212766,679,,,,,,,,,,,,,,,,
